# Feature Mapping:
# F00: mobile-order-ahead - Mobile app with order-ahead and payment
# F01: seating-availability-api - Real-time seating availability shown in app
# F02: barista-certification - Comprehensive barista certification program with quarterly testing
# F03: local-artist-program - Rotating local artist displays and performances at each location
# F04: neighborhood-manager-role - Dedicated neighborhood manager who lives in the community
# F05: commercial-espresso-upgrade - Upgrade to commercial-grade espresso machines at all locations
# F06: kitchen-retrofit - Add full kitchens with local chef partnerships
# F07: coworking-membership - Subscription membership for guaranteed seating during work hours
# F08: community-event-hosting - Evening event programming (open mics, book clubs, etc.)
# F09: supply-chain-standardization - Centralized supply chain with quality control checkpoints
#
# Interaction strength values: 5 (strong), 3 (medium), 1 (weak), --- (none/unknown)
#
F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,NEED
 5 , ~ , 3 , ~ , ~ , 1 , ~ , ~ , ~ , 3 ,reduce-wait-times
 1 , 5 , ~ , ~ , ~ , ~ , ~ , 3 , ~ , ~ ,predictable-seating
 ~ , ~ , 5 , 1 , 1 , 1 , ~ , ~ , ~ , 3 ,consistent-training
 ~ , ~ , 1 , 5 , 5 , ~ , ~ , ~ , 3 , ~ ,local-identity
 ~ , ~ , ~ , ~ , ~ , ~ , 5 , ~ , ~ , 3 ,expanded-food-program
 1 , 3 , ~ , ~ , ~ , ~ , ~ , 5 , ~ , ~ ,workspace-amenities
 ~ , ~ , ~ , 3 , 3 , ~ , ~ , 1 , 5 , ~ ,community-gathering-space
 5 , 3 , ~ , ~ , ~ , ~ , ~ , 1 , ~ , 1 ,mobile-convenience
 3 , ~ , 3 , ~ , ~ , ~ , 1 , ~ , ~ , 5 ,operational-efficiency
 ~ , ~ , 1 , 5 , 5 , 3 , 1 , ~ , 3 , 1 ,brand-differentiation
